frame,image_index,agents
53155,1,84
19669,0,67
59395,1,89
54978,0,15
41366,1,66
57456,1,87
6193,0,87
38506,0,36
12548,1,24
19857,1,30
31296,0,46
14573,0,70
13156,0,75
33543,1,58
13873,1,27
30279,1,55
35512,0,37
56150,1,90
4412,1,9
17314,0,62
37379,1,69
43386,1,67
33025,1,57
8908,1,15
8382,0,81
56992,0,14
35516,0,36
7543,0,89
10692,1,18
47318,0,26
5810,1,16
23175,0,59
58523,0,11
18777,1,34
16851,1,26
59332,1,88
2173,1,13
21896,1,38
46613,1,76
6803,0,85
2960,0,88
19267,0,71
21603,0,66
23851,0,65
16719,0,72
26733,1,43
30390,0,52
18922,1,32
18785,0,64
56933,0,14
39244,1,68
49207,0,24
31374,1,54
26476,0,53
53509,1,85
568,0,91
32051,1,55
40801,0,29
42547,1,69
10564,1,21
12395,0,84
12654,0,81
57980,1,88
42825,0,30
11858,1,16
44724,0,28
53920,1,84
3345,1,6
38467,1,66
9615,0,81
15949,1,26
16721,1,28
33632,0,39
1215,0,89
12796,1,27
11726,0,76
20535,1,30
4423,1,9
5294,0,89
40963,1,67
38122,0,34
1160,1,14
8864,1,20
15716,0,77
21146,1,36
28949,1,53
21931,1,37
18180,0,72
31705,0,43
36455,0,37
30912,0,39
19831,1,29
40726,1,65
50004,0,25
30368,1,52
55010,0,17
58904,1,89
19838,1,29
14177,1,22
59642,1,89
39808,1,64
55374,1,85
23689,1,41
29901,1,51
9154,1,28
15111,1,24
21009,0,71
50651,1,78
12782,1,27
27329,1,49
33406,0,43
25321,1,46
43749,0,28
4344,0,89
50154,1,79
31287,0,45
43740,1,70
37083,1,63
1639,0,91
15227,0,76
51717,1,83
17026,1,31
25738,1,51
21446,1,34
55966,1,86
22213,1,42
51942,1,81
18318,0,68
7402,0,85
26054,0,49
50986,0,19
43857,1,70
57024,0,14
44180,0,29
52295,1,85
7189,1,17
51592,1,85
20468,1,32
176,1,14
16365,1,29
55402,0,17
14662,1,25
50389,0,20
28062,0,51
54889,0,17
7096,1,13
44797,1,70
24733,1,46
4355,0,90
24093,1,42
28662,0,50
47796,0,23
12700,1,22
42652,0,32
7206,0,78
51951,1,81
11197,1,18
42002,0,33
50400,0,22
47216,0,26
12669,1,22
10294,1,22
14698,0,81
18772,1,34
2106,0,83
16464,0,72
42360,1,67
1679,1,10
56448,1,87
59046,0,11
19895,0,70
23103,0,63
38356,0,38
44852,0,29
17492,1,26
33364,0,42
4746,0,94
50642,0,22
40576,1,73
55696,1,84
14356,0,75
37415,1,64
22953,1,38
41075,1,67
42208,0,31
39287,1,62
12507,1,25
44865,1,73
56767,1,87
14917,0,70
21826,1,35
49135,0,25
22533,1,40
20354,1,31
28034,1,46
50267,0,22
58236,0,9
40102,1,63
21376,0,63
59712,0,10
32086,0,43
25722,0,49
41554,0,33
29367,1,55
46347,1,73
26878,1,46
563,1,9
3586,1,11
5930,0,76
42098,1,67
59511,1,89
25667,0,47
25130,0,55
24239,0,57
46135,0,24
28627,1,47
32677,1,56
18774,1,34
57648,0,13
4896,0,85
30408,0,53
30492,0,49
27855,0,50
40308,0,34
28339,1,48
26871,0,54
28848,0,50
45453,0,24
7407,1,16
20201,1,29
50430,1,78
16114,1,26
50805,0,20
35988,1,63
541,0,88
42332,1,68
15487,0,77
28809,0,51
36984,1,64
46897,1,74
45186,0,21
19699,0,64
26543,1,50
54132,0,16
7485,0,92
5015,0,87
40411,0,33
3157,0,87
7549,0,89
49451,0,24
47181,1,76
26820,1,41
18272,0,67
158,1,12
55356,1,86
111,0,93
15180,1,30
35058,1,62
50544,0,20
42846,0,29
49465,0,24
750,0,91
33645,1,61
41511,1,65
13065,1,18
51826,1,84
52546,0,17
56824,1,87
30535,1,51
12330,1,25
4921,0,85
30081,0,45
36619,1,62
41008,1,65
21796,0,66
43361,1,68
46822,0,26
37674,0,34
48689,1,78
26565,1,51
41418,1,66
16428,0,70
58724,0,10
11612,1,20
8149,1,24
