frame,image_index,agents
11066,1,24
31768,1,89
19146,0,53
46567,0,5
56478,1,98
56950,1,98
46851,0,5
13392,1,31
9417,1,22
5421,1,17
51385,1,99
30724,0,13
7589,0,78
53431,0,1
11,1,10
30561,0,14
52211,1,98
8053,1,16
30902,1,88
21140,0,41
53555,1,98
303,1,12
37218,1,89
5172,0,80
9338,0,78
49249,0,3
8231,1,21
52509,1,98
54586,1,98
15663,1,43
8349,0,86
49380,0,3
27884,1,81
49611,0,3
31226,1,87
6198,1,16
39713,1,93
53604,1,98
21917,0,42
50712,1,98
34742,1,89
23110,1,63
33120,1,88
30799,0,12
46804,0,6
50096,1,99
22324,0,36
27193,1,79
1658,0,88
10003,1,17
15944,0,62
9044,0,83
39944,0,7
45113,0,7
3767,1,19
7647,1,25
33316,0,12
38120,1,93
1580,0,93
53455,1,99
51768,1,98
41199,1,94
19976,0,45
28089,0,20
11910,1,26
46521,0,4
706,0,91
57580,1,99
6418,1,25
57608,1,99
17608,1,43
24077,0,31
39042,1,92
47612,1,95
28933,1,83
52408,0,1
23114,1,64
34873,1,88
51842,1,99
51683,0,2
29341,1,82
29424,0,16
12202,0,73
36721,1,90
39588,0,6
41628,0,6
47680,1,97
55508,1,98
37933,0,10
43700,0,7
52967,0,2
26488,0,25
32568,0,10
12401,1,28
15175,0,59
19433,1,51
34014,1,88
34994,0,12
51966,0,2
10191,0,83
5889,1,15
13041,0,68
54573,0,2
55611,1,98
8271,1,15
14337,0,71
53181,0,2
36664,0,11
46962,0,6
5513,0,79
29497,0,13
37118,0,9
7985,0,89
31267,1,88
39795,0,6
28345,1,84
41265,0,5
38982,0,8
22433,0,41
19573,0,53
45826,1,95
48303,0,4
1838,1,9
52444,1,99
38860,0,8
53062,1,98
11949,1,27
25941,0,27
32584,1,89
40450,0,6
34966,0,11
4943,1,18
21299,0,38
25380,1,72
48826,1,98
52437,0,1
52527,0,2
11943,1,27
14481,1,30
25328,1,73
13994,0,73
10994,1,24
17448,0,54
32607,0,12
52684,1,98
13821,0,72
25035,1,73
57126,0,1
42377,1,93
13627,0,71
43117,1,93
58639,1,99
8645,0,79
550,0,88
56407,1,98
53843,0,2
16109,1,38
37122,0,10
40354,1,94
40669,1,93
56317,1,98
54031,0,2
37692,0,11
55566,1,98
46804,1,94
19956,0,47
24711,0,29
11073,1,22
30550,0,13
4805,1,17
45051,1,93
32113,1,88
32522,0,11
959,0,90
12593,0,74
13629,0,70
4120,1,13
26959,0,23
56079,1,99
14078,0,66
31873,0,11
16506,0,59
52286,1,98
42618,1,94
24515,1,71
5133,1,23
57238,1,99
17512,0,58
22644,0,38
17458,0,56
34419,1,88
56953,1,98
15863,0,70
18439,1,45
31166,1,88
50575,1,98
22012,0,41
26275,0,27
50228,1,98
23150,0,34
4949,0,83
4184,0,84
23904,1,69
50118,0,1
7629,1,21
31391,0,12
5014,1,17
48127,1,96
53017,0,2
24697,0,27
49637,1,97
43761,0,7
24558,0,30
37037,1,92
41682,0,7
1068,0,88
38276,0,8
3289,1,20
22965,1,60
48899,1,97
17197,1,45
38592,1,94
8168,0,83
8226,0,82
13088,1,26
17407,1,48
33030,1,90
27891,1,81
19085,1,48
30568,1,87
1511,0,84
47443,0,4
33240,0,10
44071,1,94
14178,1,32
27550,1,79
45709,1,94
49851,1,97
302,1,12
36370,1,91
57061,0,1
57378,0,1
35804,0,8
21479,1,61
54494,0,2
1902,0,89
41958,1,94
23539,1,66
34820,0,11
6826,0,70
10220,0,80
53147,1,98
57765,1,99
9062,0,83
44351,1,95
2796,1,15
1315,0,85
1411,1,15
35939,0,10
22154,1,60
30106,0,14
2791,0,83
15154,0,60
59030,0,1
24612,0,30
50466,1,98
34323,1,90
36978,0,8
38894,1,93
751,1,11
15283,1,37
30031,1,87
34972,0,11
19826,0,46
14372,0,67
9187,0,81
40251,1,96
36141,0,10
44930,0,6
24258,1,66
9599,0,78
22828,0,39
28723,0,15
13196,0,75
18761,0,51
41404,0,7
49813,1,97
56240,0,2
57405,0,1
58466,0,1
34501,1,91
43121,1,93
58097,1,99
58129,0,1
18989,0,46
58730,1,99
9100,0,82
44348,1,95
53722,0,2
35255,1,91
25732,1,75
8457,1,21
47481,0,4
23697,0,36
47194,1,96
8638,1,19
52022,0,2
50141,1,99
12309,0,68
5341,0,80
9257,0,83
14426,0,69
25431,1,71
24631,1,69
21760,0,39
59566,1,99
16780,0,58
20144,1,52
30972,0,12
42436,0,7
19775,0,50
20837,1,60
46576,0,5
4169,0,87
49014,0,3
14348,1,30
171,0,83
16605,1,39
31667,0,13
33808,1,89
57586,0,1
30435,0,14
8661,0,76
40758,0,7
44983,1,93
49232,0,3
47185,1,96
41314,0,6
8553,0,80
59962,1,100
19784,0,50
17980,0,54
12955,1,28
57572,0,1
7593,1,22
24350,1,67
10391,1,21
29418,1,85
58592,0,1
18636,0,53
49613,1,97
19509,1,48
50226,0,2
28633,0,14
30646,0,15
4294,0,80
902,0,91
1504,0,83
31229,0,12
33810,1,89
23788,1,63
56069,0,1
58123,1,99
58998,0,1
32184,1,88
26919,0,24
38994,1,92
23436,0,41
55576,1,98
59260,0,1
25925,0,26
29031,0,17
44582,0,7
52676,1,98
14534,0,66
45677,0,4
8969,0,80
27838,1,81
17967,1,44
3557,1,15
23888,0,34
52855,0,2
9716,0,77
7272,1,14
17327,1,45
58524,0,1
57014,1,99
12307,1,33
655,1,5
28064,0,20
37780,1,93
22642,1,63
56701,1,98
48114,1,96
13509,1,31
17269,0,58
19351,1,47
4944,1,19
4658,1,14
1669,1,12
30205,0,14
45363,1,93
37804,0,8
49030,1,97
27672,1,84
41375,0,7
21334,1,60
4835,1,17
1745,1,11
53180,1,98
53556,1,98
39441,1,93
54091,0,2
35758,1,89
17830,1,44
2133,1,8
5470,0,86
8221,1,19
35830,1,91
2802,0,88
59583,1,99
31337,1,87
53454,1,99
14829,1,41
1536,0,82
33723,1,88
7101,1,18
19543,1,46
51245,0,2
6898,0,79
3449,1,8
18060,0,56
23905,0,31
36565,1,91
41781,1,94
57139,0,1
51674,1,99
58526,1,99
22400,0,39
36599,0,10
48499,0,4
10922,0,77
41086,0,4
5912,0,85
48980,1,97
46039,0,5
24863,0,27
25588,1,74
41796,1,95
48757,0,3
26165,0,28
4582,1,20
19832,1,55
28614,1,86
5109,0,82
49610,0,3
6495,0,82
7328,0,80
2157,1,8
46502,1,94
58994,0,1
15301,1,34
46986,0,6
31539,1,87
15262,0,59
6516,0,82
9990,0,79
11363,0,76
27492,0,20
33596,1,90
44461,1,93
55912,1,98
46827,1,94
16956,1,37
53207,1,98
15869,1,31
31252,0,12
30536,1,86
37815,0,8
8827,0,80
20449,0,42
36396,0,10
350,0,91
58115,0,1
40402,0,7
35099,0,10
42250,1,96
24581,1,68
40880,0,7
12192,1,27
22356,0,34
26597,1,76
46450,1,94
31569,1,87
24365,0,33
6738,0,82
20829,1,61
48044,1,96
46529,1,95
29516,1,87
33429,1,89
8033,1,21
36593,1,91
32418,0,12
42724,1,94
49657,1,97
22001,1,59
25920,0,25
53184,1,98
58394,1,99
58817,0,1
19093,0,52
55818,0,2
17919,1,37
18629,1,45
13520,1,30
32337,1,88
39604,1,93
10491,0,80
24153,0,33
3181,1,20
44155,0,4
896,1,6
3744,0,81
30231,0,14
42507,1,94
9663,1,26
44587,1,93
2313,0,87
40953,1,95
50636,1,98
10381,1,23
38713,1,91
22006,0,40
58628,0,1
23484,0,37
26220,1,73
37485,1,90
7686,1,21
46439,1,94
20991,1,59
4309,0,81
12642,1,23
11705,1,29
14775,0,65
57076,0,1
8180,1,20
42070,0,5
52929,1,98
10776,1,22
1309,1,18
22114,0,44
56337,1,98
52597,1,98
32951,0,12
2506,0,97
35761,1,89
42737,0,5
10514,1,23
30808,1,87
56145,1,98
36643,1,90
13708,1,31
3337,1,21
16363,1,36
54030,0,2
25543,0,28
133,0,81
30328,1,85
41703,0,6
59924,1,99
8039,0,81
34128,0,10
54318,0,2
5520,1,21
19932,1,50
21098,1,57
23882,0,33
16189,0,60
58061,1,99
1017,0,90
27536,1,79
36817,1,89
11326,1,26
17953,1,44
3883,1,16
23436,1,59
16340,0,65
10535,1,24
15365,0,66
19300,0,51
40546,1,94
4244,0,82
47146,0,5
10949,1,24
46294,1,94
9108,0,82
5328,1,19
40747,0,7
43850,1,94
29907,0,17
44088,0,7
44673,0,6
28321,0,16
3975,1,15
47296,0,4
5957,0,80
39071,0,8
2355,1,13
40820,1,94
42400,1,93
9953,0,80
30587,0,14
6092,1,15
19328,0,54
29955,1,87
46699,0,3
36643,0,10
10896,1,22
24332,0,32
1915,0,89
15210,1,42
32999,0,11
6691,1,18
20403,1,56
34476,0,9
19028,0,43
48921,0,3
2279,1,12
6845,0,73
12880,1,27
57334,1,99
34708,0,9
687,1,13
21053,0,44
31940,0,10
22429,1,60
24658,0,30
26657,0,21
37192,0,11
38659,1,92
37901,1,90
41698,1,94
47993,0,4
811,1,10
40879,1,93
18647,1,47
26358,1,76
6313,1,14
20189,1,55
8926,1,26
32524,1,89
41261,1,95
51032,0,2
17943,0,58
24277,0,34
58172,1,99
56244,0,2
18447,1,44
7847,0,84
24403,0,32
34268,1,89
46951,1,94
56221,0,2
29358,0,18
32856,1,90
8126,0,86
37746,1,90
40564,1,94
38852,0,8
24975,0,32
25985,1,72
12547,0,76
40810,0,6
17356,1,45
57120,1,99
8648,1,22
25375,0,27
35724,1,89
15747,1,40
40196,0,6
47084,0,4
13376,0,70
22298,1,62
49095,0,3
32991,1,89
48729,0,3
30511,0,13
11759,1,25
56257,1,98
24287,1,66
31157,1,87
37236,1,91
6493,0,82
42273,0,5
48672,1,98
6849,1,31
13879,0,71
29903,1,83
13810,0,71
26136,1,77
37246,1,91
59222,1,99
24855,1,72
40352,1,94
45608,0,6
16134,1,36
3466,1,11
14577,0,63
23992,0,34
15064,0,61
50412,0,1
24917,0,31
26987,1,76
27469,1,81
34967,0,11
29717,1,84
29466,0,14
8503,1,21
44596,1,94
487,1,19
55194,1,98
53258,0,2
42380,0,7
49038,1,97
11080,1,21
43384,0,6
39055,1,92
4698,1,22
9478,1,25
21618,1,59
21213,1,60
26017,0,27
10800,1,22
12827,1,30
33609,0,10
27456,1,81
48789,1,97
34813,1,89
36159,1,90
30568,0,13
40093,1,94
44087,1,93
34019,0,12
7190,1,13
37775,1,93
8267,1,14
36242,1,92
4936,1,17
9069,0,82
24663,0,30
36552,1,91
9863,0,78
23457,1,61
45640,1,95
