frame,image_index,agents
27439,1,7
9372,1,12
43504,1,8
36314,1,7
32121,1,10
44269,1,8
37464,1,10
57876,1,19
27712,1,10
7067,0,91
14152,1,10
18700,0,94
46384,0,92
2226,1,7
52152,0,85
56973,1,9
48477,0,86
6173,1,10
19786,0,89
29942,0,96
59569,1,13
26,0,88
21703,1,9
42949,0,91
13286,1,12
25023,0,89
59327,0,86
43832,1,14
56269,1,15
44176,1,15
16737,0,84
54213,1,14
44415,0,84
6195,0,87
44479,1,15
38097,1,11
32431,0,88
55474,0,89
41763,0,83
22216,0,91
53502,1,7
24992,0,88
9817,0,89
11116,0,96
17628,1,7
54613,1,10
12479,1,5
37795,0,90
12325,1,9
30522,0,87
1337,0,92
8925,1,10
23677,1,12
17049,1,12
5404,1,12
3764,0,90
6599,1,17
15782,0,84
17128,1,9
10266,1,10
49267,1,19
15157,1,12
45101,0,85
4198,0,84
1095,1,9
34454,1,14
10145,1,13
10754,1,8
23503,0,91
39417,0,90
15018,0,90
14212,0,88
44788,0,86
4552,1,9
23218,1,7
2613,1,13
32767,1,7
48294,1,13
34959,1,8
47760,1,12
34978,1,11
4541,1,7
41305,0,89
38875,1,12
44284,0,87
39687,0,84
12666,1,6
25370,0,88
25428,1,10
58453,0,92
17428,1,13
56961,1,11
25431,1,10
6195,1,13
22134,1,14
49179,1,10
29125,1,19
33011,0,97
7079,1,13
11685,1,6
25069,1,12
59173,0,96
51544,1,9
21740,0,93
19499,0,86
8750,1,9
12521,1,3
40748,1,10
50550,1,10
3686,0,96
4249,0,89
13396,1,6
25438,0,88
55230,1,13
46288,1,7
6851,1,9
52160,1,13
3368,0,84
39467,0,91
48113,1,7
17929,0,84
40933,1,11
45470,1,10
31125,1,10
48486,0,87
4164,0,91
59746,0,84
49197,0,93
35980,0,93
49910,0,83
31484,1,13
5610,1,11
2588,0,86
29411,1,11
5993,1,11
46346,0,93
47519,1,12
3507,1,10
10059,0,88
37380,0,84
45130,1,15
15844,1,11
7325,1,4
22062,0,83
6563,1,17
25844,1,11
51640,0,86
55490,0,86
21036,1,16
14993,0,93
18426,1,11
34627,0,84
16384,1,12
54749,0,86
3028,1,10
36000,1,8
20755,1,10
12955,0,89
19460,1,14
58187,1,11
23381,0,86
10956,1,17
14655,0,82
26292,0,88
23489,1,12
38856,0,90
32953,1,9
35301,0,95
40557,1,14
5127,0,83
57927,1,18
1127,0,91
33945,0,92
46426,1,14
21969,0,87
15054,0,85
22406,0,91
58303,1,8
50644,1,13
40360,1,18
40896,0,88
56680,0,87
3431,0,82
14178,0,87
33638,1,12
35736,1,15
23820,0,90
4375,0,89
34450,1,16
33083,1,13
4526,0,91
57173,1,9
28169,1,9
59147,0,92
39499,0,92
32049,0,94
11957,1,22
7665,0,87
24720,1,6
27604,1,12
8881,0,96
21501,1,15
27879,1,10
29311,0,92
31013,0,92
297,0,78
32576,1,10
9341,1,10
57730,0,85
58327,1,12
31,0,87
16605,1,10
14935,1,11
39059,0,93
48892,0,90
40973,0,85
18331,0,90
8700,1,3
40721,0,88
48932,1,12
54939,1,13
9980,0,97
5403,1,13
54430,1,20
46121,1,9
23970,1,7
23798,0,87
30900,1,9
47664,1,14
58051,0,86
58098,0,92
32444,1,14
5451,0,90
7404,1,16
27974,1,12
7246,0,91
41830,0,88
37220,1,14
12022,1,7
48365,0,86
3715,0,96
32566,0,94
32129,0,90
35889,1,9
50908,1,10
23194,0,90
59758,0,86
12892,1,13
20321,0,89
13726,1,10
15121,1,14
17125,0,91
51012,1,14
5452,1,10
4496,0,86
14429,0,96
46265,0,96
56510,1,10
11987,0,86
55843,0,94
1479,1,14
23852,0,90
20523,1,8
55363,1,13
48402,1,12
53449,0,91
5586,1,6
18679,1,5
8748,1,8
22478,0,96
28309,1,12
40774,1,6
59613,0,84
42484,0,90
3808,0,94
33302,0,95
6274,0,89
13105,0,93
38332,1,7
48529,0,90
29408,1,12
47501,1,14
24580,1,8
40138,1,9
48113,0,93
30681,1,7
24229,0,92
42916,0,92
6903,1,6
7186,1,15
28345,1,10
37655,0,91
46353,0,93
4441,0,88
480,1,13
30322,0,91
30582,0,86
22650,0,88
37426,1,15
6341,1,11
54161,0,94
59411,0,87
51164,1,16
50350,1,11
21661,1,9
7832,1,15
54634,1,3
18090,0,92
40188,0,91
4172,1,11
51593,1,12
404,1,9
18558,0,94
58852,0,89
28248,1,9
26839,0,91
35118,1,17
19254,1,8
25998,0,91
26789,1,14
27290,0,88
37965,0,84
59408,0,86
5572,0,91
40856,1,17
56925,0,85
48883,1,8
54506,0,92
26080,0,92
26454,0,90
215,1,9
24403,0,90
19652,1,12
19598,0,92
27134,1,16
43350,0,93
16448,1,8
30860,1,12
12562,0,92
15322,1,14
30183,1,12
45285,0,94
53152,0,86
12208,0,91
57443,1,13
19856,1,17
28507,1,10
2580,1,11
9879,1,12
43131,1,9
59203,1,8
15032,1,15
39776,0,87
53213,1,12
31841,0,87
30738,1,11
24836,1,13
25081,1,10
34903,0,89
38213,0,93
49144,0,90
9968,1,5
28378,1,8
33833,1,10
49903,0,82
43125,0,89
54184,0,89
25141,1,13
38092,0,88
21286,0,76
296,1,23
12501,0,93
6755,0,86
9063,0,85
24657,0,84
9388,1,13
12650,1,6
12643,1,6
28928,0,88
41881,1,8
42171,0,87
48155,1,14
43559,0,90
41858,1,8
54633,1,4
36814,0,89
46596,1,11
15322,0,86
41600,0,86
15397,1,12
31193,1,10
27716,1,10
53929,1,12
13461,1,8
9462,0,86
24899,0,84
7361,1,11
5358,0,89
16767,0,83
21053,0,87
25803,1,7
14532,1,12
13853,1,5
50569,0,91
54003,1,11
22976,0,89
13430,1,10
9104,0,91
38570,1,14
58718,0,87
20460,1,9
1874,1,7
4749,1,11
40571,0,86
23560,0,90
51296,0,89
3237,1,14
49035,1,16
44854,1,9
4643,1,11
35903,0,94
47090,0,91
49731,0,84
11003,0,90
14799,0,82
39961,0,93
46038,0,88
42621,1,16
50143,0,90
46940,1,14
48288,0,85
39596,0,89
59563,1,14
47439,1,9
48935,1,13
55762,1,11
4380,0,88
4678,1,10
23288,1,11
30962,0,91
11478,1,11
43123,0,88
50500,0,84
27526,0,88
5394,1,13
9231,1,13
15735,1,10
32589,1,11
38186,1,7
1,0,92
12695,0,90
59127,1,6
2810,0,91
14913,0,89
37823,0,86
57842,1,13
35198,0,93
19185,1,14
48365,1,14
50574,0,91
12620,0,93
11807,1,7
47930,1,15
48120,1,9
44442,0,82
2293,1,9
25763,0,90
34145,0,84
54109,0,90
23390,1,12
43958,0,91
32158,1,13
33539,1,16
59258,0,87
4083,0,87
21137,0,90
25204,1,14
59978,1,11
2348,0,91
32119,0,90
49639,0,93
10679,1,10
5204,0,85
52836,0,89
24328,1,12
26897,1,6
9125,1,8
38084,1,8
35988,1,8
36012,1,10
37854,0,87
56895,1,14
5153,1,15
40422,1,11
43946,1,8
2125,0,84
31556,1,13
44380,1,11
48974,0,88
50900,1,10
51499,0,89
49533,0,87
56813,0,92
37924,0,88
14770,1,12
45312,0,91
47865,0,84
24700,0,88
15116,0,85
29540,0,92
37266,1,14
23214,0,89
23150,1,16
34466,0,92
21611,0,95
40797,1,10
45233,0,89
27548,1,9
18343,1,11
24727,1,6
25868,0,89
32689,1,10
35716,0,87
23255,0,93
29166,1,13
31519,1,12
51437,1,15
57499,1,8
39643,1,11
649,1,7
53374,1,9
10076,1,19
12071,1,8
38589,1,10
23233,0,93
36966,1,13
12989,1,4
48027,0,89
6065,0,89
15720,0,92
33738,0,88
19648,0,88
19603,0,91
59225,0,92
50678,0,91
54235,1,11
23671,0,84
51862,0,84
19459,0,86
57836,1,12
51136,0,87
57297,1,18
42615,0,85
22504,0,88
55492,1,14
28355,1,11
36131,1,8
2980,1,12
19474,0,87
29766,0,89
11083,0,93
43838,0,83
25051,1,12
53781,1,9
6248,0,88
6801,0,87
43553,1,11
55719,1,8
9461,0,86
20989,0,88
25350,0,92
58097,0,92
38660,1,6
4012,1,11
15890,0,88
27526,1,12
28684,1,11
56551,0,91
55947,1,11
45733,1,9
41768,0,84
38063,0,89
39865,0,84
28198,1,8
24088,0,92
470,0,86
47964,1,11
42456,1,11
22307,0,91
14676,0,78
7603,1,10
23207,0,87
27585,0,89
29266,1,10
2113,1,16
27647,1,13
37519,1,8
47048,0,88
8737,0,94
27404,0,93
12408,0,90
48415,1,11
12221,1,8
48387,0,85
18114,0,88
20491,1,12
40579,1,13
46836,0,94
29516,1,6
6520,1,14
28683,0,89
29344,0,89
40739,0,88
46389,1,8
6550,1,18
52863,0,92
30305,1,12
10000,0,98
32004,1,12
6740,0,89
43204,1,13
5774,0,90
43564,0,91
38814,0,96
58812,1,16
16497,0,89
59721,0,88
7437,0,81
33756,1,12
28646,1,16
36987,0,84
46741,1,10
53326,1,9
41934,0,85
10707,1,7
4707,0,92
59791,1,14
22993,1,10
8237,0,85
48967,1,13
7261,1,10
31146,0,89
40805,1,13
1297,1,13
42964,0,88
21191,0,85
35308,0,94
47683,1,16
5323,0,89
49442,1,12
35836,0,91
13349,1,6
16710,0,87
7683,1,8
23451,1,11
26591,0,89
18514,1,11
38085,0,91
50236,0,90
29584,0,91
3377,1,16
41129,0,90
41759,1,17
11792,0,95
29317,0,91
24592,0,90
13751,0,94
42995,0,88
10622,1,9
24522,1,15
28670,1,11
34954,0,89
24712,1,8
53265,0,92
39205,1,9
19119,0,95
9034,0,87
8755,1,9
38176,0,93
15678,0,93
29806,0,87
10094,1,19
16477,1,10
29966,0,91
9161,1,15
53893,0,90
32171,0,88
17285,0,87
21191,1,15
36376,0,92
51803,0,82
45453,0,89
42681,1,14
14409,0,95
19685,1,9
58133,0,89
15627,1,10
42293,1,12
51526,0,90
14052,0,86
42269,1,13
5461,0,92
12543,1,5
15983,0,85
42993,1,12
46720,0,88
55668,0,82
57511,0,91
3443,0,82
5628,1,15
4896,0,88
34999,1,11
40785,1,7
53104,1,10
4222,0,88
27634,0,87
5445,0,91
40932,1,11
3422,0,84
58290,0,94
58158,0,87
610,1,14
56079,0,88
54408,0,88
3546,0,91
54058,0,86
35698,1,10
28496,0,92
32564,1,7
7600,0,90
49740,1,14
12312,1,10
32590,1,11
46662,1,16
22453,0,89
47320,1,17
15972,0,87
39805,1,14
57912,0,83
44577,1,9
59852,1,11
39478,0,90
23120,1,11
50494,0,83
22829,0,87
1308,1,12
44496,1,15
53456,1,9
47313,1,17
51340,1,10
40630,0,95
16442,0,90
32627,0,86
50345,1,9
20269,0,87
51448,0,85
55925,1,9
23649,1,19
55459,1,8
11914,0,84
47248,0,84
15475,1,12
42499,1,8
8982,0,89
56773,1,9
3440,0,82
56580,0,93
2454,1,10
17450,0,90
17898,1,16
23578,1,11
52127,1,15
42034,0,88
34347,1,17
43507,0,91
24878,0,88
25741,1,9
40703,0,93
58961,1,12
4728,0,93
18257,0,87
30651,0,88
55495,0,86
51268,0,88
10347,0,91
50088,1,13
33147,1,14
40612,0,95
2905,0,90
20297,0,88
51092,1,14
15929,0,88
25310,1,6
16200,0,90
44561,1,10
31243,0,87
5921,1,15
49545,1,13
52364,1,9
28282,1,13
56712,1,13
58257,0,92
58480,1,13
24497,0,82
31,1,13
4420,1,10
30401,1,12
52373,1,9
6967,0,84
11925,0,83
29856,0,93
34737,1,10
21840,1,11
34073,1,10
18171,1,9
6271,1,11
28811,0,87
33390,0,89
15730,1,8
24035,1,11
25467,0,84
40007,0,86
