frame,image_index,agents,agents_smoothed
0,0,88,88.0
1,0,88,88.0
2,0,88,88.0
3,0,88,88.0
4,0,88,88.0
5,0,88,88.0
6,0,88,88.0
7,0,88,88.0
8,0,88,88.0
9,0,88,88.0
10,0,88,88.0
11,0,88,88.0
12,0,88,88.0
13,0,86,87.85714285714286
14,0,86,87.73333333333333
15,0,86,87.625
16,0,86,87.52941176470588
17,0,86,87.44444444444444
18,0,86,87.36842105263158
19,0,86,87.3
20,0,86,87.23809523809524
21,0,88,87.27272727272727
22,0,89,87.34782608695652
23,0,89,87.41666666666667
24,0,89,87.48
25,0,89,87.53846153846153
26,0,89,87.5925925925926
27,0,89,87.64285714285714
28,0,88,87.65517241379311
29,0,88,87.66666666666667
30,0,88,87.6774193548387
31,0,88,87.6875
32,0,88,87.6969696969697
33,0,88,87.70588235294117
34,0,88,87.71428571428571
35,0,88,87.72222222222223
36,0,89,87.75675675675676
37,0,89,87.78947368421052
38,0,89,87.82051282051282
39,0,88,87.825
40,0,88,87.82926829268293
41,0,88,87.83333333333333
42,0,88,87.83720930232558
43,0,88,87.8409090909091
44,0,88,87.84444444444445
45,0,88,87.84782608695652
46,0,88,87.85106382978724
47,0,89,87.875
48,0,89,87.89795918367346
49,0,90,87.94
50,0,90,87.98
51,0,91,88.04
52,0,91,88.1
53,0,91,88.16
54,0,91,88.22
55,0,91,88.28
56,0,91,88.34
57,0,92,88.42
58,0,92,88.5
59,0,92,88.58
60,0,92,88.66
61,0,91,88.72
62,0,90,88.76
63,0,91,88.86
64,0,90,88.94
65,0,90,89.02
66,0,91,89.12
67,0,90,89.2
68,0,90,89.28
69,0,90,89.36
70,0,88,89.4
71,0,88,89.4
72,0,88,89.38
73,0,88,89.36
74,0,88,89.34
75,0,90,89.36
76,0,90,89.38
77,0,90,89.4
78,0,90,89.44
79,0,90,89.48
80,0,90,89.52
81,0,90,89.56
82,0,90,89.6
83,0,89,89.62
84,0,89,89.64
85,0,89,89.66
86,0,88,89.64
87,0,88,89.62
88,0,88,89.6
89,0,88,89.6
90,0,86,89.56
91,0,85,89.5
92,0,84,89.42
93,0,84,89.34
94,0,84,89.26
95,0,85,89.2
96,0,85,89.14
97,0,85,89.06
98,0,85,88.98
99,0,85,88.88
100,0,85,88.78
101,0,85,88.66
102,0,86,88.56
103,0,86,88.46
104,0,86,88.36
105,0,87,88.28
106,0,88,88.22
107,0,88,88.14
108,0,87,88.04
109,0,88,87.96
110,0,88,87.88
111,0,88,87.82
112,0,87,87.76
113,0,89,87.72
114,0,89,87.7
115,0,89,87.68
116,0,88,87.62
117,0,88,87.58
118,0,88,87.54
119,0,89,87.52
120,0,89,87.54
121,0,89,87.56
122,0,88,87.56
123,0,88,87.56
124,0,88,87.56
125,0,87,87.5
126,0,87,87.44
127,0,87,87.38
128,0,86,87.3
129,0,86,87.22
130,0,86,87.14
131,0,86,87.06
132,0,86,86.98
133,0,87,86.94
134,0,87,86.9
135,0,87,86.86
136,0,87,86.84
137,0,89,86.86
138,0,90,86.9
139,0,90,86.94
140,0,90,87.02
141,0,90,87.12
142,0,90,87.24
143,0,90,87.36
144,0,90,87.48
145,0,89,87.56
146,0,88,87.62
147,0,89,87.7
148,0,89,87.78
149,0,89,87.86
150,0,90,87.96
151,0,89,88.04
152,0,89,88.1
153,0,89,88.16
154,0,90,88.24
155,0,90,88.3
156,0,90,88.34
157,0,90,88.38
158,0,90,88.44
159,0,90,88.48
160,0,89,88.5
161,0,89,88.52
162,0,89,88.56
163,0,89,88.56
164,0,89,88.56
165,0,90,88.58
166,0,89,88.6
167,0,89,88.62
168,0,89,88.64
169,0,89,88.64
170,0,90,88.66
171,0,90,88.68
172,0,89,88.7
173,0,88,88.7
174,0,87,88.68
175,0,87,88.68
176,0,87,88.68
177,0,86,88.66
178,0,86,88.66
179,0,86,88.66
180,0,86,88.66
181,0,86,88.66
182,0,86,88.66
183,0,87,88.66
184,0,86,88.64
185,0,86,88.62
186,0,87,88.62
187,0,87,88.58
188,0,87,88.52
189,0,87,88.46
190,0,88,88.42
191,0,89,88.4
192,0,89,88.38
193,0,88,88.34
194,0,89,88.32
195,0,88,88.3
196,0,87,88.28
197,0,87,88.24
198,0,88,88.22
199,0,90,88.24
200,0,90,88.24
201,0,90,88.26
202,0,90,88.28
203,0,90,88.3
204,0,90,88.3
205,0,90,88.3
206,0,91,88.32
207,0,91,88.34
208,0,91,88.36
209,0,91,88.38
210,0,91,88.42
211,0,90,88.44
212,0,90,88.46
213,0,90,88.48
214,0,89,88.48
215,0,89,88.46
216,0,89,88.46
217,0,88,88.44
218,0,88,88.42
219,0,87,88.38
220,0,86,88.3
221,0,86,88.22
222,0,87,88.18
223,0,87,88.16
224,0,87,88.16
225,0,86,88.14
226,0,86,88.12
227,0,86,88.12
228,0,85,88.1
229,0,85,88.08
230,0,84,88.04
231,0,85,88.02
232,0,85,88.0
233,0,85,87.96
234,0,85,87.94
235,0,86,87.94
236,0,86,87.92
237,0,86,87.9
238,0,87,87.9
239,0,87,87.9
240,0,87,87.88
241,0,87,87.84
242,0,87,87.8
243,0,87,87.78
244,0,88,87.76
245,0,88,87.76
246,0,88,87.78
247,0,87,87.78
248,0,86,87.74
249,0,86,87.66
250,0,85,87.56
251,0,85,87.46
252,0,87,87.4
253,0,87,87.34
254,0,87,87.28
255,0,87,87.22
256,0,86,87.12
257,0,86,87.02
258,0,85,86.9
259,0,85,86.78
260,0,85,86.66
261,0,85,86.56
262,0,85,86.46
263,0,86,86.38
264,0,86,86.32
265,0,86,86.26
266,0,86,86.2
267,0,87,86.18
268,0,87,86.16
269,0,87,86.16
270,0,87,86.18
271,0,87,86.2
272,0,87,86.2
273,0,87,86.2
274,0,86,86.18
275,0,86,86.18
276,0,86,86.18
277,0,87,86.2
278,0,87,86.24
279,0,86,86.26
280,0,86,86.3
281,0,85,86.3
282,0,85,86.3
283,0,85,86.3
284,0,86,86.32
285,0,87,86.34
286,0,87,86.36
287,0,86,86.36
288,0,86,86.34
289,0,86,86.32
290,0,86,86.3
291,0,86,86.28
292,0,85,86.24
