frame,image_index,agents
24582,2,9
2861,1,13
51803,1,8
47255,2,6
52213,2,5
23150,2,7
1546,1,12
28552,1,17
44986,2,9
30815,2,6
7894,2,3
34271,2,13
12949,1,8
34429,1,4
34810,1,6
37072,0,89
44557,1,7
48074,2,9
49390,0,87
59645,2,10
5298,0,84
7821,2,2
26602,1,7
34578,2,6
4392,2,8
31907,0,88
3109,2,6
43001,1,6
40003,0,87
46655,0,85
59285,0,84
29648,0,85
20070,0,82
11297,2,7
31974,1,12
34467,0,85
45922,2,3
10011,1,9
11543,1,3
13751,1,4
18459,0,83
30273,2,3
44015,1,11
6206,1,11
11633,2,4
21824,1,8
16353,2,10
16263,0,84
57765,2,9
47309,2,7
5775,0,84
15787,1,9
31502,2,5
36975,2,12
39147,2,9
51235,0,88
53242,0,84
5667,0,85
23307,0,87
25602,0,78
52314,0,83
23519,2,8
11883,2,9
31162,1,6
17324,1,8
19563,0,80
24043,0,90
25562,2,7
54592,0,85
5043,0,92
21190,2,4
33480,2,14
17591,0,85
52728,2,5
33508,1,11
33237,1,8
24211,2,9
6056,2,10
49426,1,9
40124,0,82
38647,2,4
3540,0,84
47385,2,8
47588,2,5
55268,0,85
9128,2,4
1138,2,12
9000,1,12
13940,0,87
16177,0,88
42894,1,7
58455,1,9
39809,0,81
45049,1,8
3415,2,13
11780,1,6
59797,1,6
56367,1,10
4771,1,6
9603,2,2
55068,1,10
51466,1,11
17402,0,89
53518,0,84
1996,2,4
23208,0,90
39579,1,4
8551,2,5
33002,0,88
38064,2,5
9607,2,3
32896,2,3
55304,2,7
57401,1,9
58151,2,7
29669,1,7
36423,1,4
399,2,5
59941,2,7
6754,1,7
15434,2,7
47855,1,8
45076,0,86
48689,1,7
14600,2,9
537,1,9
59263,2,5
33118,1,3
47406,1,4
14007,1,8
50626,2,12
1230,2,7
19048,0,90
45952,2,5
27633,1,9
6442,0,84
10534,1,7
35252,2,4
46082,1,5
54537,0,90
57262,2,7
27411,2,5
26423,2,9
8618,1,9
41112,1,10
8673,2,12
27174,0,88
28261,2,4
34040,2,4
59068,1,11
50086,0,88
29757,0,82
5069,1,4
45798,2,7
43118,0,80
24147,0,93
25140,2,3
23053,1,5
39979,0,83
17352,1,6
56794,2,5
56667,1,5
8895,1,9
16906,0,84
58852,2,6
39654,1,9
15685,2,6
16090,1,7
22654,0,91
2005,1,9
17375,0,92
6641,2,9
45593,0,83
13464,1,8
23455,2,5
15471,0,88
18516,1,6
35178,2,5
8323,1,11
16467,1,8
25759,2,6
40150,1,9
27596,2,9
30571,2,8
40912,1,6
28229,0,86
45139,2,3
51301,2,5
17593,2,9
51393,1,7
54194,1,8
26681,1,10
6796,2,9
20042,1,8
619,0,86
1795,1,11
32206,1,6
59353,2,6
5238,1,7
9319,1,7
8188,2,13
29908,2,6
38769,0,81
39573,2,9
7558,2,3
50692,0,86
55146,0,88
7004,2,10
57595,1,7
12553,2,3
53342,2,5
45618,1,8
29424,2,5
48126,0,82
54325,2,5
58686,1,10
4497,2,9
13788,2,6
23097,1,4
18776,0,86
22622,1,4
27155,2,3
42956,1,5
50478,1,5
2974,1,13
58822,0,88
16578,2,8
11137,0,89
35604,2,14
28715,0,89
49661,2,8
48399,0,82
37622,0,87
57424,2,13
50837,2,11
51280,2,8
33814,1,5
42237,0,88
54418,1,12
36360,1,7
56595,2,9
18467,2,7
18552,0,87
36597,0,77
51609,0,88
6135,1,8
45002,2,7
20981,2,5
54018,1,9
19025,2,6
21103,1,8
3860,2,8
46873,0,90
21390,0,83
51044,1,6
48893,1,10
53799,2,6
3523,2,8
28289,1,8
33167,1,4
4980,0,86
48646,2,4
19026,0,90
18138,2,9
16890,1,8
5488,1,5
14693,0,89
32540,0,87
28482,0,86
43967,2,4
25127,0,85
6991,2,11
52345,0,92
54507,0,94
55793,0,83
7228,0,83
33467,0,76
27361,2,2
55536,0,90
7171,2,6
397,0,88
1347,1,7
26889,2,9
50809,0,80
56430,1,2
57472,2,11
41659,2,8
54212,1,5
53849,1,8
19216,0,86
41871,2,7
42956,0,87
52599,2,12
58819,2,7
32038,1,12
44218,2,9
57490,2,6
28599,2,9
58622,0,85
14533,1,7
28914,0,87
24141,2,4
36732,2,8
13247,0,85
59038,0,87
6719,1,5
55909,1,6
57459,0,81
6505,1,9
47172,1,15
52793,0,81
40273,1,7
57943,2,7
24679,1,9
55740,0,80
30631,2,8
38342,0,85
7865,1,8
20029,2,9
24487,1,11
44809,1,10
58141,1,6
5630,2,7
27621,0,85
27070,1,9
3101,0,81
8701,0,88
6198,0,85
38180,1,10
41937,0,87
27521,2,9
16807,1,11
7027,1,7
11650,0,86
2445,0,86
28906,1,6
22271,2,4
51560,2,7
18820,0,93
28681,0,89
38234,1,8
41027,0,88
53336,2,4
54709,1,10
21958,1,10
9481,0,80
21966,2,7
47106,2,9
25387,2,7
53520,2,11
26699,1,9
40060,2,8
40974,1,10
12116,0,79
29484,2,8
9842,1,6
36674,0,84
40156,1,6
44613,1,12
22524,2,13
13298,2,10
14862,1,7
16654,0,79
3115,0,83
14770,2,9
17033,1,3
50207,2,11
4453,1,14
24046,0,90
46103,0,83
4380,0,81
5662,2,10
26089,2,7
17845,2,5
29147,2,7
45774,1,12
21523,1,6
19314,1,4
17481,0,85
38975,2,7
6413,0,88
39589,0,84
36000,0,86
43195,2,11
14358,2,8
26926,1,10
3416,0,76
29141,2,8
11336,2,14
37606,0,92
13964,1,4
18402,1,11
39639,0,85
41041,0,84
5084,2,6
33768,0,92
46028,2,8
25334,2,8
57212,0,90
26688,0,84
24605,1,3
52806,1,8
34753,0,84
43300,1,12
33105,0,88
17753,0,90
37765,1,9
44210,1,8
30977,2,9
14785,0,85
27705,2,2
59484,1,8
43077,2,6
11814,2,4
15815,0,87
18022,2,8
31224,1,9
43233,2,8
50260,1,8
53092,2,7
54519,0,91
58963,2,5
13666,0,83
46759,2,6
20530,2,5
28575,1,16
16634,1,8
2636,1,9
6576,0,89
43739,2,7
20297,1,3
59149,0,90
18812,1,4
20005,0,81
8476,0,85
10034,0,83
55705,0,81
40155,0,81
59210,0,91
11039,0,91
9463,0,77
13311,0,85
41471,1,6
11961,2,10
56579,1,3
24455,2,5
1973,2,3
23608,2,5
10995,2,8
23900,2,14
28650,2,9
29295,0,86
5653,0,84
27282,2,7
39863,2,6
5629,2,7
7584,2,3
9076,0,87
8142,2,8
17857,2,4
41342,0,85
46767,0,85
42935,0,82
1985,1,7
48443,0,84
54349,0,84
11088,1,14
19792,0,90
56079,0,84
8811,0,84
41187,2,9
51484,2,5
52137,0,82
13280,2,8
56255,0,84
55539,1,6
47290,1,4
43366,2,4
6163,1,9
35488,0,86
24241,1,6
26113,1,6
1858,1,13
5383,1,6
10566,0,86
29799,2,7
43468,2,10
28683,1,4
33663,1,7
18112,1,11
44096,0,93
54289,1,5
13591,2,6
55698,0,81
14961,2,5
34067,2,1
4526,2,11
19747,2,5
25923,0,80
17960,0,74
23002,0,85
42936,1,7
2264,0,78
11469,0,78
35206,0,79
51496,1,8
52556,2,6
52851,2,11
16938,0,74
50209,0,82
15206,1,10
5279,2,6
35075,0,89
1309,0,89
47837,0,83
6652,0,87
4551,0,86
34822,0,88
11698,2,7
38852,0,81
57260,2,7
38178,2,9
717,2,5
22369,0,89
28082,0,89
12390,2,11
38984,0,85
48417,0,83
52845,0,84
58282,1,11
37237,2,6
58772,1,10
56880,1,8
19771,2,3
23926,0,80
33599,2,4
55369,0,94
23153,1,2
12291,0,87
53044,2,4
8224,2,10
12727,1,8
21603,2,6
34472,0,84
20828,1,5
55035,0,85
10666,1,7
13150,2,8
9940,0,80
59975,0,84
3054,1,6
5543,1,5
13470,2,2
15121,1,8
18428,0,87
21720,2,4
25762,1,10
26027,0,85
28625,0,84
38651,2,4
46664,2,9
5050,2,5
6193,1,8
47237,2,7
35682,0,83
56377,1,10
4295,2,6
29026,0,83
37791,2,3
44242,2,8
43165,0,71
47368,0,90
4073,1,10
9546,2,6
13337,0,82
22003,1,6
40908,2,13
51289,1,12
29015,2,10
44931,0,87
4024,0,79
40135,2,8
58742,1,8
34956,0,90
50983,0,88
16903,2,5
49719,0,85
9928,2,12
22473,1,6
33249,2,5
8957,0,83
16162,0,92
22903,1,4
32766,2,5
22325,2,7
35685,2,8
19746,2,5
45470,1,6
42820,1,14
46557,2,13
36676,1,9
17896,2,9
46773,0,87
49920,0,89
23149,2,7
28406,0,86
54139,2,4
3071,0,84
50410,2,6
55191,1,6
7831,0,88
56749,2,8
23765,0,88
57095,1,11
57310,1,12
57970,1,7
22378,1,3
58623,0,85
16789,0,82
1932,0,90
29077,2,7
1745,0,88
34218,1,6
12757,1,7
35662,0,75
31392,1,3
45281,2,6
4162,1,12
47158,0,75
22855,2,5
46114,0,85
56502,0,90
16376,2,11
31148,2,12
23419,2,10
34880,0,89
59846,2,6
5495,1,5
18338,2,6
14990,2,4
